tipo,nombre_rh,codigo,descripcion,este,norte,altitud,categoria,estado,cuenca
Quebrada,Ancoma,QAnco1,"Quebrada Ancoma, aguas arriba del puente Ancoma.",398 501,8 051 665,3 500,Cat. 1 A2,Inactivo,CAPLINA
Quebrada,Aruma,QArum1,"Quebrada Aruma, frente a zona baja del nevado Chuquipiña.",411 482,8 042 498,4 485,Cat. 1 A2,Inactivo,CAPLINA
Quebrada,Palca,QPalc1,"Quebrada Palca, aprox. 50 m. aguas abajo del centro poblado Causuri.",400 195,8 035 310,3 109,Cat. 1 A2,Inactivo,CAPLINA
Quebrada,Palca,QPalc2,"Quebrada Palca, zona el Olivar.",396 267,8 032 224,2 700,Cat. 1 A2,Inactivo,CAPLINA
Quebrada,Piscullane,QPisc1,"Quebrada Piscullane, aguas arriba de la intersección con la trocha carrozable de la zona de Paso de los vientos hacia el poblado Talabaya.",411 649,8 052 761,4 558,Cat. 1 A2,Inactivo,CAPLINA
Quebrada,Toquela,QToqu1,"Quebrada Toquela, a 400 m aguas arriba del puente Toquela - Challaviento.",399 816,8 048 609,3 284,Cat. 1 A2,Inactivo,CAPLINA
Quebrada,Toquela,QToqu2,"QuebradaToquela, aprox. 3 Km aguas abajo del vertimiento Challaviento.",399 329,8 048 526,3 151,Cat. 1 A2,Inactivo,CAPLINA
Río,Caplina,RCapl1,"Río Caplina, aprox. 20 m aguas arriba del puente Caplina (Ex Chontaque), Sector Totoroco.",401 912,8 043 657,3 448,Cat. 1 A2,Activo,CAPLINA
Río,Caplina,RCapl2,"Rio Caplina, aprox. 500m aguas abajo del centro Poblado Caplina.",400 079,8 043 627,3 218,Cat. 1 A2,Inactivo,CAPLINA
Río,Caplina,RCapl3,"Río Caplina, aguas arriba de la bocatoma Challata.",383 538,8 029 925,1 540,Cat. 1 A2,Activo,CAPLINA
Río,Caplina,RCapl4,Rio Caplina aprox. 3km aguas abajo del santuario Pallagua.,387 520,8 035 439,1 865,Cat. 1 A2,Inactivo,CAPLINA
Río,Caplina,RCapl5,"Rio Caplina, aguas debajo de la unión del rio Caplina con Qda. Palca.",380 011,8 023 677,1 222,Cat. 1 A2,Inactivo,CAPLINA
Laguna,Suches,LSuch4S,"Laguna Suches, en la orilla cerca al campamento minero SPCC.",352 051,8 126 740,4 467,Cat. 4,Inactivo,LOCUMBA
Quebrada,Caracara,QCara1,"Quebrada Caracara, de afloramiento geotermal a la margen izquierda del rio Callazas.",365 426,8 117 322,4 369,Cat. 4,Inactivo,LOCUMBA
Quebrada,Azufre Chico,QAchi1,"Quebrada Azufre Chico, de afloramiento geotermal a la margen derecha del rio Callazas.",362 913,8 107 426,4 120,Cat. 4,Inactivo,LOCUMBA
Río,Jaruma,RJaru1,"Rio Jaruma, a 150 m aguas arriba de la sección hidrometrica la Yesera.",369 860,8 083 353,2 826,Cat. 4,Activo,LOCUMBA
Río,Callazas,RCall1,"Rio Callazas, aguas abajo de la confluencia con la quebrada Azufre Chico.",362 966,8 107 343,4 103,Cat. 4,Activo,LOCUMBA
Río,Callazas,RCall2,"Rio Callazas, aguas abajo del vertimiento del centro poblado Aricota.",368 042,8 082 813,2 787,Cat. 4,Inactivo,LOCUMBA
Río,Callazas,RCall3,"Rio Callazas, aguas abajo de la confluencia con el rio Jaruma antes del ingreso de la Laguna Aricota.",367 762,8 082 277,2 763,Cat. 4,Activo,LOCUMBA
Río,Curibaya,RCuri1,Rio Curibaya aguas abajo del campamento Chintari de la Central Hidroelectrica Aricota II.,350 918,8 073 033,1 710,Cat. 3,Inactivo,LOCUMBA
Río,Curibaya,RCuri2,Rio Curibaya aguas arriba de la confluencia con el rio Ilabaya.,336 264,8 067 225,1 087,Cat. 3,Activo,LOCUMBA
Río,Ilabaya,RIlab1,"Rio Ilabaya, a 1 km aguas arriba del puente Chejaya.",341 249,8 076 463,1 516,Cat. 3,Inactivo,LOCUMBA
Río,Ilabaya,RIlab2,"Rio Ilabaya, aguas abajo del vertimiento de la PTAR de Ilabaya.",339 745,8 072 879,1 340,Cat. 3,Activo,LOCUMBA
Río,Salado,RSala1,"Rio Salado, aguas debajo de confluencia de los rios Ilabaya con Curibaya.",336 235,8 066 984,1 096,Cat. 3,Inactivo,LOCUMBA
Río,Salado,RSala2,"Rio Salado, aguas abajo del Puente Francisco Antonio de Zela.",334 329,8 065 112,1 010,Cat. 3,Activo,LOCUMBA
Río,Locumba,RLocu3,"Rio Locumba, aguas abajo de los vertimientos de Villa Locumba y E.T. PNP Locumba.",311 927,8 050 854,537,Cat. 3,Activo,LOCUMBA
Río,Locumba,RLocu4,"Rio Locumba, aguas abajo del puente Camiara.",304 543,8 043 654,403,Cat. 3,Inactivo,LOCUMBA
Río,Locumba,RLocu5,"Rio Locumba, aguas arriba de la bocatoma de ITE.",300 080,8 036 872,282,Cat. 3,Activo,LOCUMBA
