"nombre_rh","codigo","descripcion","altitud","categoria","estado","cuenca","coordenadas"
"Quebrada Ancoma","QAnco1","Quebrada Ancoma, aguas arriba del puente Ancoma.",3500,"C1A2","Inactivo","CAPLINA","-17.6194020146595,-69.9567123418315"
"Quebrada Aruma","QArum1","Quebrada Aruma, frente a zona baja del nevado Chuquipiña.",4485,"C1A2","Inactivo","CAPLINA","-17.7028083679305,-69.8347477561606"
"Quebrada Palca","QPalc1","Quebrada Palca, aprox. 50 m. aguas abajo del centro poblado Causuri.",3109,"C1A2","Inactivo","CAPLINA","-17.7672902941115,-69.9415164770789"
"Quebrada Palca","QPalc2","Quebrada Palca, zona el Olivar.",2700,"C1A2","Inactivo","CAPLINA","-17.7949985421137,-69.978719477989"
"Quebrada Piscullane","QPisc1","Quebrada Piscullane, aguas arriba de la intersección con la trocha carrozable de la zona de Paso de los vientos hacia el poblado Talabaya.",4558,"C1A2","Inactivo","CAPLINA","-17.6100580885357,-69.8327463760227"
"Quebrada Toquela","QToqu1","Quebrada Toquela, a 400 m aguas arriba del puente Toquela - Challaviento.",3284,"C1A2","Inactivo","CAPLINA","-17.6470810446094,-69.9444624497621"
"Quebrada Toquela","QToqu2","QuebradaToquela, aprox. 3 Km aguas abajo del vertimiento Challaviento.",3151,"C1A2","Inactivo","CAPLINA","-17.6478091253734,-69.9490570037753"
"Río Caplina","RCapl1","Río Caplina, aprox. 20 m aguas arriba del puente Caplina (Ex Chontaque), Sector Totoroco.",3448,"C1A2","Activo","CAPLINA","-17.6919297185605,-69.9249335213402"
"Río Caplina","RCapl2","Rio Caplina, aprox. 500m aguas abajo del centro Poblado Caplina.",3218,"C1A2","Inactivo","CAPLINA","-17.6921188114414,-69.9422177514354"
"Río Caplina","RCapl3","Río Caplina, aguas arriba de la bocatoma Challata.",1540,"C1A2","Activo","CAPLINA","-17.8151375083894,-70.0989293370033"
"Río Caplina","RCapl4","Rio Caplina aprox. 3km aguas abajo del santuario Pallagua.",1865,"C1A2","Inactivo","CAPLINA","-17.765513558143,-70.0610658044469"
"Río Caplina","RCapl5","Rio Caplina, aguas debajo de la unión del rio Caplina con Qda. Palca.",1222,"C1A2","Inactivo","CAPLINA","-17.8714108566209,-70.1325623137357"
"Laguna Suches","LSuch4S","Laguna Suches, en la orilla cerca al campamento minero SPCC.",4467,"C4E2","Inactivo","LOCUMBA","-16.9383706771208,-70.3893661470063"
"Quebrada Caracara","QCara1","Quebrada Caracara, de afloramiento geotermal a la margen izquierda del rio Callazas.",4369,"C4E2","Inactivo","LOCUMBA","-17.0242999758234,-70.2643569379042"
"Quebrada Azufre Chico","QAchi1","Quebrada Azufre Chico, de afloramiento geotermal a la margen derecha del rio Callazas.",4120,"C4E2","Inactivo","LOCUMBA","-17.1135838855335,-70.2885766562894"
"Río Jaruma","RJaru1","Rio Jaruma, a 150 m aguas arriba de la sección hidrometrica la Yesera.",2826,"C4E2","Activo","LOCUMBA","-17.3315432696918,-70.2247201807139"
"Río Callazas","RCall1","Rio Callazas, aguas abajo de la confluencia con la quebrada Azufre Chico.",4103,"C4E2","Activo","LOCUMBA","-17.1143371387927,-70.2880837251789"
"Río Callazas","RCall2","Rio Callazas, aguas abajo del vertimiento del centro poblado Aricota.",2787,"C4E2","Inactivo","LOCUMBA","-17.3363179461405,-70.2418589013437"
"Río Callazas","RCall3","Rio Callazas, aguas abajo de la confluencia con el rio Jaruma antes del ingreso de la Laguna Aricota.",2763,"C4E2","Activo","LOCUMBA","-17.3411454700794,-70.2445261858823"
"Río Curibaya","RCuri1","Rio Curibaya aguas abajo del campamento Chintari de la Central Hidroelectrica Aricota II.",1710,"C3D1","Inactivo","LOCUMBA","-17.4236303113543,-70.4036534065552"
"Río Curibaya","RCuri2","Rio Curibaya aguas arriba de la confluencia con el rio Ilabaya.",1087,"C3D1","Activo","LOCUMBA","-17.4750912753552,-70.5420318315987"
"Río Ilabaya","RIlab1","Rio Ilabaya, a 1 km aguas arriba del puente Chejaya.",1516,"C3D1","Inactivo","LOCUMBA","-17.3919746780209,-70.4944161350345"
"Río Ilabaya","RIlab2","Rio Ilabaya, aguas abajo del vertimiento de la PTAR de Ilabaya.",1340,"C3D1","Activo","LOCUMBA","-17.4242533387202,-70.5088364048771"
"Río Salado","RSala1","Rio Salado, aguas debajo de confluencia de los rios Ilabaya con Curibaya.",1096,"C3D1","Inactivo","LOCUMBA","-17.4772667915856,-70.5423232229368"
"Río Salado","RSala2","Rio Salado, aguas abajo del Puente Francisco Antonio de Zela.",1010,"C3D1","Activo","LOCUMBA","-17.494041626438,-70.5604131811937"
"Río Locumba","RLocu3","Rio Locumba, aguas abajo de los vertimientos de Villa Locumba y E.T. PNP Locumba.",537,"C3D1","Activo","LOCUMBA","-17.6210889072575,-70.7725958358718"
"Río Locumba","RLocu4","Rio Locumba, aguas abajo del puente Camiara.",403,"C3D1","Inactivo","LOCUMBA","-17.685498348727,-70.8428263804723"
"Río Locumba","RLocu5","Rio Locumba, aguas arriba de la bocatoma de ITE.",282,"C3D1","Activo","LOCUMBA","-17.7463682296855,-70.8855286783691"
"Quebrada Honda","QHond1","Quebrada Honda, aguas arriba del centro poblado Pampa Sitana (km. 15).",892,"C3D1","Inactivo","LOCUMBA","-17.5267247798098,-70.8475443145831"
"Río Calumbraya","RCalu1","Rio Calumbraya, aguas arriba de su confluencia con el rio Ilabaya.",1388,"C3D1","Inactivo","LOCUMBA","-17.4217045356913,-70.5124772331369"
"Río Cinto","RCint1","Rio Cinto, aguas arriba del puente Higuerani.",2425,"C3D1","Inactivo","LOCUMBA","-17.3483414329348,-70.5507638524072"
"Quebrada Boroqueña","QBoro1","Quebrada Boroqueña, sector Ancocruz, aguas arriba del puente Boroqueña.",2812,"C3D1","Inactivo","LOCUMBA","-17.3131644032929,-70.4327298414072"
"Río Calientes","RCali1","Rio Calientes, aguas arriba de la bocatoma Chiquitoma.",4396,"C4E2","Inactivo","LOCUMBA","-17.0987903324439,-70.1310135630666"
"Río Callazas","RCall0","Río Callazas, antes de la confluencia con el río Caracara.",4369,"C4E2","Inactivo","LOCUMBA","-17.024118353536,-70.2644966276224"
"Río Locumba","RLocu6","Rio Locumba, ingreso a humedales de Ite (puente Costanera).",9,"C3D1","Activo","LOCUMBA","-17.906762310139,-70.9578619012823"
"Laguna Suches","LSuch1S","Laguna Suches, al interior parte media a 1,5 km del campamento en dirección al muelle, nivel superficie.",4460,"C4E2","Activo","LOCUMBA","-16.9334836883302,-70.4022683765231"
"Laguna Suches","LSuch1F","Laguna Suches, al interior parte media a 1,5 km del campamento en dirección al muelle, nivel fondo.",4460,"C4E2","Activo","LOCUMBA","-16.9334836883302,-70.4022683765231"
"Laguna Suches","LSuch2S","Laguna Suches, cerca tributarios y bofedal Huaytire, nivel superficie.",4460,"C4E2","Activo","LOCUMBA","-16.9188931413957,-70.3829893852266"
"Laguna Suches","LSuch2F","Laguna Suches, cerca tributarios y bofedal Huaytire, nivel fondo.",4460,"C4E2","Activo","LOCUMBA","-16.9188931413957,-70.3829893852266"
